,locality
1513,Vashi
1514,Vashi
1515,Vashi
1516,Sector 9 Vashi
1517,Vashi
1518,Sector 12 Vashi
1519,Sector 12 Vashi
1520,Sector 14 Vashi
1521,Sector 19D Vashi
1522,Vashi
1523,Sector 28 Vashi
1524,Vashi
1525,Vashi
1526,Sector 14 Vashi
1527,Sector 29 Vashi
1528,Sector 9 Vashi
1529,Vashi
1530,Vashi
1531,Vashi
1532,Vashi
1533,Vashi
1534,Vashi
1535,Sector 28 Vashi
1536,Sector 12 Vashi
1537,Vashi
1538,Vashi
1539,Vashi
1540,Vashi
1541,Vashi
1542,Sector 9 Vashi
1543,Sector 28 Vashi
1544,Sector 17 Vashi
1545,Vashi
1546,Vashi
1547,Sector 29 Vashi
1548,Sector 29 Vashi
1549,Sector 19 Vashi
1550,Sector 17 Vashi
1551,Vashi
1552,Sector 12 Vashi
1553,Vashi
1554,Vashi
1555,Vashi
1556,Vashi
1557,Vashi
1558,Vashi
1559,Vashi
1560,Vashi
1561,Sector 17 Vashi
1562,Sector 10A Vashi
1563,Sector 10 Vashi
1564,Sector 2 Vashi
1565,Sector 15 Vashi
1566,Sector 12 Vashi
1567,Sector 14 Vashi
1568,Sector 15 Vashi
1569,Sector 28 Vashi
1570,Sector 17 Vashi
1571,Sector 9 Vashi
1572,Sector 17 Vashi
1573,Vashi
1574,Vashi
1575,Vashi
1576,Vashi
1577,Vashi
1578,Vashi
1579,Vashi
1580,Vashi
1581,Vashi
1582,Vashi
1583,Vashi
1584,Vashi
1585,Vashi
1586,Vashi
1587,Vashi
1588,Vashi
1589,Vashi
1590,Sector 2 Vashi
1591,Sector 9 Vashi
1592,Vashi
1593,Vashi
1594,Vashi
1595,Vashi
1596,Sector 14 Vashi
1597,Sector 6 Vashi
1598,Sector 6 Vashi
1599,Sector 6 Vashi
1600,Sector 6 Vashi
1601,Sector 12 Vashi
1602,Sector 19 Vashi
1603,Vashi
1604,Sector 17 Vashi
1605,Sector 17 Vashi
1606,Vashi
1607,Sector 19 Vashi
1608,Vashi
1609,Vashi
1610,Sector 14 Vashi
1611,Sector 14 Vashi
1612,Sector 10 Vashi
1613,Sector 10 Vashi
1614,Sector 12 Vashi
1615,Vashi
1616,Vashi
1617,Sector 14 Vashi
1618,Sector 12 Vashi
1619,Vashi
1620,Sector 29 Vashi
1621,Vashi
1622,Vashi
1623,Sector 28 Vashi
1624,Vashi
1625,Vashi
1626,Sector 5 Vashi
1627,Vashi
1628,Vashi
1629,Sector 12 Vashi
1630,Vashi
1631,Sector 26 Vashi
1632,Sector 30A Vashi
1633,Sector 12 Vashi
1634,Sector 28 Vashi
1635,Sector 14 Vashi
1636,Vashi
1637,Sector 30 Vashi
1638,Sector 14 Vashi
1639,Sector 15 Vashi
1640,Sector 3 Vashi
1641,Sector 29 Vashi
1642,Vashi
1643,Vashi
1644,Sector 16 Vashi
1645,Sector 29 Vashi
1646,Vashi
1647,Sector 6 Vashi
1648,Vashi
1649,Sector 26 Vashi
1650,Sector 30A Vashi
1651,Vashi
1652,Sector 11 Vashi
1653,Sector 12 Vashi
1654,Sector 31 Vashi
1655,Vashi
1656,Sector 9A Vashi
1657,Sector 12 Vashi
1658,Vashi
1659,Sector 29 Vashi
1660,Sector 9 Vashi
1661,Sector 9 Vashi
1662,Sector 11 Vashi
1663,Sector 11 Vashi
1664,Sector 30 Vashi
1665,Sector 3 Vashi
1666,Sector 10 Vashi
1667,Sector 28 Vashi
1668,Sector 29 Vashi
1669,Sector 9 Vashi
1670,Sector 12 Vashi
1671,Sector 8 Vashi
1672,Sector 30A Vashi
1673,Sector 26 Vashi
1674,Sector 11 Vashi
1675,Sector 28 Vashi
1676,Sector 31 Vashi
1677,Sector 28 Vashi
1678,Vashi
1679,Sector 12 Vashi
1680,Sector 12 Vashi
1681,Sector 28 Vashi
1682,Sector 28 Vashi
1683,Sector 26 Vashi
1684,Sector 5 Vashi
1685,Sector 2 Vashi
1686,Sector 8 Vashi
1687,Sector 17 Vashi
1688,Sector 26 Vashi
1689,Sector 29 Vashi
1690,Sector 31 Vashi
1691,Vashi
1692,Sector 31 Vashi
1693,Sector 6 Vashi
1694,Vashi
1695,Sector 14 Vashi
1696,Sector 6 Vashi
1697,Vashi
1698,Sector 11 Vashi
1699,Vashi
1700,Sector 9 Vashi
1701,Sector 9 Vashi
1702,Vashi
1703,Sector 9 Vashi
1704,Vashi
1705,Vashi
1706,Sector 28 Vashi
1707,Sector 12 Vashi
1708,Sector 12 Vashi
1709,Sector 15 Vashi
1710,Sector 26 Vashi
1711,Vashi
1712,Sector 9 Vashi
1713,Sector 28 Vashi
1714,Sector 26 Vashi
1715,Sector 26 Vashi
1716,Sector 16 Vashi
1717,Vashi
1718,Sector 31 Vashi
1719,Vashi
1720,Vashi
1721,Sector 14 Vashi
1722,Sector 16 Vashi
1723,Vashi
1724,Sector 28 Vashi
1725,Sector 12 Vashi
1726,Sector 26 Vashi
1727,Sector 26 Vashi
1728,Sector 12 Vashi
1729,Sector 9 Vashi
1730,Sector 17 Vashi
1731,Sector 17 Vashi
1732,Sector 12 Vashi
1733,Sector 9 Vashi
1734,Vashi
1735,Sector 30 Vashi
1736,Sector 11 Vashi
1737,Vashi
1738,Mumbai Central
1739,Dongri
1740,Dongri
1741,Dongri
1742,Dongri
1743,Dongri
1744,Mazgaon
1745,Wadala
1746,Wadala
1747,Wadala
1748,Wadala
1749,Wadala
1750,Wadala
1751,Wadala
1752,Wadala
1753,Wadala
1754,Wadala
1755,Wadala
1756,Wadala
1757,Wadala
1758,Mumbai Central
1759,RTO Colony
1760,Mumbai Central
1761,Mumbai Central
1762,Dongri
1763,Dongri
1764,Agripada
1765,Dongri
1766,Dongri
1767,Dongri
1768,Dongri
1769,Dongri
1770,Dongri
1771,Dongri
1772,Dongri
1773,Dongri
1774,Dongri
1775,Girgaon
1776,Byculla
1777,Byculla
1778,Byculla
1779,Byculla
1780,Mazgaon
1781,Masjid Bandar 
1782,Nagpada
1783,Mazgaon
1784,Mazgaon
1785,Byculla 
1786,Nagpada
1787,Mazgaon
1788,Mazgaon
1789,Tardeo
1790,Mumbai Central
1791,RTO Colony
1792,Mumbai Central
1793,Mumbai Central
1794,Dongri
1795,Mumbai Central
1796,Dongri
1797,Agripada
1798,Dongri
1799,Dongri
1800,Agripada
1801,Agripada
1802,Agripada
1803,Agripada
1804,Agripada
1805,Dongri
1806,Agripada
1807,Agripada
1808,Dongri
1809,Agripada
1810,Agripada
1811,Agripada
1812,Agripada
1813,Nagpada
1814,Girgaon
1815,Nagpada
1816,Nagpada
1817,Girgaon
1818,Nagpada
1819,Nagpada
1820,Lalbaug
1821,Lower Parel 
1822,Mumbai Central
1823,Mahim 
1824,Mumbai Central
1825,Sangam Nagar
1826,Matunga 
1827,Mumbai Central
1828,Matunga 
1829,Wadala 
1830,Matunga
1831,Mazgaon
1832,Borivali  gorai sector 2
1833,nanabhai chawl mazg
1834,Grant Road
1835,Kataria Colony
1836,Ghodapdeo
1837,Wadala
1838,Mazgaon
1839,ern Railway Colony
1840,Kemps corner
1841,Sathe Nagar
1842,Bhawani Sankar
1843,Kamathi Wada
1844,Nariman Point
1845,Dadar 
1846,Dongri
1847,Sangam Nagar
1848,Dongri
1849,Dongri
1850,Dongri
1851,Mahim 
1852,Dadar 
1853,Nandkarni Park
1854,Dadar 
1855,Mahim 
1856,Dadar
1857,Badhwar Park
1858,Dongri
1859,Nandkarni Park
1860,Byculla
1861,Ganesh Murti Nagar
1862,Sewri 
1863,Masjid Bandar
1864,Mahim
1865,Mumbai Central
1866,Matunga 
1867,Parel
1868,Parel
1869,Parel
1870,Parel
1871,Parel
1872,Parel
1873,Matunga 
1874,Parel
1875,Parel
1876,Parel
1877,Parel
1878,Parel
1879,Mahalaxmi
1880,Mahalaxmi
1881,Mahalaxmi
1882,Mahalaxmi
1883,Mahalaxmi
1884,Mahalaxmi
1885,Mahalaxmi
1886,Parel
1887,Parel
1888,Parel
1889,Matunga 
1890,Parel
1891,Parel
1892,Matunga 
1893,Parel
1894,Matunga 
1895,Mumbra
1896,Sanjay Nagar
1897,Sanjay Nagar
1898,Sanjay Nagar
1899,Mumbra 
1900,Mumbra 
1901,Mumbra
1902,Mumbra
1903,Shailesh Nagar
1904,Mumbra
1905,Mumbra
1906,Mumbra
1907,Kausa
1908,Mumbra
1909,Mumbra
1910,Mumbra
1911,Mumbra
1912,Mumbra
1913,Mumbra
1914,Mumbra
1915,Mumbra
1916,Mumbra
1917,Mumbra
1918,Mumbra
1919,Mumbra
1920,Mumbra
1921,Mumbra
1922,Mumbra
1923,Mumbra
1924,Mumbra
1925,Mumbra
1926,Mumbra
1927,Mumbra
1928,Mumbra
1929,Mumbra
1930,Mumbra
1931,Mumbra
1932,Mumbra
1933,Mumbra
1934,Kalyan
1935,Chinchpada Gaon
1936,Beturkar Pada
1937,Katemanivali
1938,Tisgao Naka
1939,Adharwadi
1940,Chinchpada Gaon
1941,Chinchpada Gaon
1942,Katemanivali
1943,Pisavli
1944,Rajaram Nagar
1945,Kalyan 
1946,Kalyan 
1947,Kalyan 
1948,Kalyan 
1949,Vaity Wadi
1950,Kalyan 
1951,Kalyan 
1952,Rambaug
1953,Kalyan 
1954,Nandivali Gaon
1955,Ganesh Nagar
1956,Beturkar Pada
1957,Kalyan 
1958,Wadeghar
1959,Adharwadi
1960,Kalyan 
1961,Kalyan
1962,Kalyan
1963,Kalyan
1964,Kalyan
1965,Kalyan
1966,Kalyan
1967,Kalyan
1968,Kalyan
1969,Kalyan
1970,Kalyan
1971,Kalyan
1972,Kalyan
1973,Kalyan
1974,Kalyan
1975,Kalyan
1976,Kalyan
1977,Kalyan
1978,Kalyan
1979,Kalyan
1980,Kalyan
1981,Kalyan
1982,Kalyan
1983,Kalyan
1984,Kalyan
1985,Kalyan
1986,Kalyan
1987,Kalyan
1988,Kalyan
1989,Kalyan
1990,Kalyan
1991,Manda 
1992,Titwala
1993,Manda 
1994,Titwala
1995,Titwala
1996,Titwala
1997,Titwala
1998,Titwala
1999,Manda
2000,Manda
2001,Manda
2002,Titwala
2003,Titwala
2004,Titwala
2005,Sindhi Colony
2006,Bhatwadi
2007,Hallow Pul
2008,Bhandup 
2009,titwala
2010,IIT Area
2011,Pereira Wadi
2012,Vikhroli 
2013,Mulund
2014,Bhandup 
2015,Govandi
2016,Chembur
2017,Powai
2018,Mankhurd 
2019,Mandala
2020,Mankhurd
2021,Mankhurd
2022,Khalai Village
2023,Chembur
2024,Bhandup 
2025,Chembur 
2026,Chembur 
2027,Powai
2028,Chembur 
2029,Chembur
2030,Chembur
2031,Deonar
2032,Chembur 
2033,Chembur 
2034,Chembur 
2035,Chembur
2036,Deonar
2037,Chembur
2038,Chembur 
2039,Chembur
2040,Chembur
2041,Ghatkopar 
2042,Bhandup 
2043,Bhandup 
2044,Bhatwadi
2045,Bhandup 
2046,Mhada Colony
2047,Mhada Colony
2048,Mulund
2049,Bhandup 
2050,Ghatkopar 
2051,Chembur Camp
2052,Bhandup 
2053,Khindipada
2054,LBS Marg
2055,IIT Area
2056,Vishnu Nagar
2057,Mulund
2058,Kanjurmarg 
2059,Asalpha
2060,Asalpha
2061,Pratap Nagar
2062,Kanjurmarg 
2063,Govandi 
2064,Bhandup 
2065,Mulund
2066,Kirol Village
2067,Chembur Gaothan
2068,Subhash Nagar
2069,GuruTeg Bahadur Nagar
2070,Jambhulpada
2071,Bhandup 
2072,Bhandup 
2073,Tagore Nagar
2074,Moti Nagar
2075,Christian Gaon
2076,Ghatkopar 
2077,Trombay
2078,Asalpha
2079,Chembur 
2080,Powai
2081,Air Force Quarters
2082,Sardar Vallabhbhai Patel Nagar
2083,Kamgar Nagar
2084,Bhandup 
2085,Tembhipada
2086,Govandi 
2087,Mata Ramabai Ambedkar Nagar
2088,Govandi 
2089,Bhandup 
2090,Ghatkopar 
2091,Bhim Nagar
2092,Bhandup 
2093,Bhandup 
2094,Ghatkopar 
2095,Chembur 
2096,Chembur
2097,Chembur 
2098,Tembhipada
2099,Dharavi
2100,Chembur
2101,Damle Colony
2102,Mandala
2103,Nahur 
2104,Antop Hill
2105,Pratap Nagar
2106,Sion
2107,Chembur 
2108,Chembur Camp
2109,Mulund
2110,Ghatkopar 
2111,Kanjur Village
2112,Asalpha
2113,Adarsh Nagar
2114,Mulund
2115,Chembur
2116,Tulshetpada
2117,Tata Nagar
2118,Asha Nagar
2119,Khindipada
2120,Kamgar Nagar
2121,Ghatkopar 
2122,Govandi
2123,Kurla 
2124,Vikhroli Park Site
2125,Central Area
2126,Nahur 
2127,Hariyali
2128,Gaon Devi
2129,Tagore Nagar
2130,Chembur
2131,Bhandup 
2132,Mulund
2133,BS Ambedkar Nagar
2134,Christian Gaon
2135,GuruTeg Bahadur Nagar
2136,Deonar
2137,Chembur
2138,Sion
2139,Ganesh Nagar
2140,Keshav Pada
2141,Mhada Colony
2142,Bhatwadi
2143,Kurla 
2144,Laxmi Colony
2145,Chembur
2146,Govandi
2147,Govandi
2148,Kurla 
2149,Tagore Nagar
2150,Vikhroli Park Site
2151,Kamgar Nagar
2152,Tirandaz
2153,Ramabai Ambedkar Nagar
2154,Battipada
2155,Bhandup
2156,Ghatkopar 
2157,New Gautam Nagar
2158,Indira Nagar
2159,Indira Nagar
2160,LBS Marg
2161,Bhandup 
2162,Powai
2163,Chembur
2164,Antop Hill
2165,RP Nagar
2166,Panchkutir Ganesh Nagar
2167,Bhatwadi
2168,Kurla 
2169,Ghatkopar 
2170,Bhandup 
2171,Mulund
2172,Vikhroli 
2173,Powai
2174,Jamil Nagar
2175,Govandi 
2176,Chembur
2177,Tagore Nagar
2178,Ambernath
2179,Bhandup 
2180,Bhandup 
2181,Bhandup 
2182,Baiganwadi
2183,Mulund
2184,Chandivali
2185,Ghatkopar 
2186,Powai
2187,Vidyavihar
2188,Bhandup 
2189,Bhandup 
2190,Trombay
2191,Chirag Nagar
2192,Chirag Nagar
2193,Deonar Municipal Colony
2194,Mulund
2195,Chembur 
2196,Mulund
2197,Sion
2198,Mulund
2199,Vidyavihar 
2200,Bhandup 
2201,Mulund
2202,Mulund
2203,Panvel
2204,Adaigaon
2205,Adaigaon
2206,Belapur
2207,Sector 1A Kopar Khairane
2208,Sector 8B Belapur
2209,Sector 7 Airoli
2210,Sector 8B Belapur
2211,Sector 8 Kalamboli
2212,Sector 17 Nerul
2213,Sector 15 Vashi
2214,Sector 1 Kopar Khairane
2215,Sector 8B Belapur
2216,Sector 8B Belapur
2217,Nagaon
2218,Sector 29 Vashi
2219,Sector 6 Vashi
2220,Sector 15 Kopar Khairane
2221,Ulwe
2222,Sector 2 New Panvel
2223,Seawoods
2224,New Panvel 
2225,Karanjade
2226,Karanjade
2227,Sector 8 Airoli
2228,Sector 23 Ulwe
2229,Sector 8 Kopar Khairane
2230,Rabale
2231,Adai
2232,Sector 7 Kopar Khairane
2233,New Panvel 
2234,Adaigaon
2235,Old Panvel
2236,New Panvel
2237,Sector 2 CBD Belapur
2238,Kharghar
2239,Sector 6 Vashi
2240,Panvel
2241,Sector 6 Vashi
2242,Sector 6 Vashi
2243,Sector 20 Kharghar
2244,Sector 17 Nerul
2245,Panvel
2246,Sector 7 Vashi
2247,Sector 7 Vashi
2248,Old Panvel
2249,Sector 17 Nerul
2250,on demand
2251,Sector 7 Vashi
2252,Sector 18 Kopar Khairane
2253,Kopar Khairane
2254,Sector 12 New Panvel 
2255,Sector 6 New Panvel
2256,Panvel
2257,Panvel
2258,Belapur
2259,Palaspa
2260,Sector 12 New Panvel 
2261,New Panvel
2262,New Panvel
2263,Khalapur
2264,Belapur
2265,Sector 21 Nerul
2266,Sector 1 Kopar Khairane
2267,Sector 8B Belapur
2268,Sector 6 Vashi
2269,Sector 4 Ghansoli
2270,New Panvel
2271,Dronagiri
2272,Panvel
2273,Panvel
2274,New Panvel
2275,New Panvel
2276,Vashi
2277,Panvel
2278,Sector 17 Nerul
2279,Sector 6 Vashi
2280,Sector 15 Belapur
2281,JNPT Township
2282,Palaspe Phata
2283,Palaspa
2284,Khalapur
2285,Sector 16 Kopar Khairane
2286,Artist Village
2287,Sector 17 Nerul
2288,Sector 17 Kopar Khairane
2289,New Panvel
2290,Sector 21 Nerul
2291,Sector 17 Nerul
2292,Panvel
2293,Sector 6 Vashi
2294,New Panvel
2295,Sector 16 Airoli
2296,Khandeshhwar
2297,New Panvel
2298,Airoli
2299,Sector 8B Belapur
2300,Sector 25 Khandeshhwar
2301,Kharghar
2302,Belapur
2303,Sector 15 Kopar Khairane
2304,Cidco Colony
2305,Kopar Khairane
2306,Sector 5 Ghansoli
2307,Sector 30A Vashi
2308,Old Panvel
2309,Belapur
2310,Kalamboli
2311,Sector 21 New Panvel 
2312,Panvel
2313,Sector 12 Vashi
2314,Panvel
2315,Sector 14 Vashi
2316,Sector 3 New Panvel
2317,Sector 8 Airoli
2318,Sector 17 Kopar Khairane
2319,Sector 12 Kharghar
2320,Sector 6 New Panvel
2321,Block G Sector 12 Kharghar
2322,Sector 19A Nerul
2323,Vichumbe
2324,Sector 12
2325,Sector 2 Kopar Khairane
2326,Sector 21 Kharghar
2327,Sector 8A Belapur
2328,Khandeshhwar
2329,Sector 12 Kharghar
2330,New Panvel
2331,Sector 16 Nerul
2332,Sector 16 Nerul
2333,Old Panvel
2334,Sector 10 Sanpada
2335,Sector 7 Kopar Khairane
2336,Panvel
2337,Sector 16 Kalamboli
2338,Sector 18A Nerul
2339,Sector 12 New Panvel 
2340,Pushpak Nagar
2341,Rabale
2342,Sector 30 Kharghar
2343,Ghansoli
2344,Sector 12 Kharghar
2345,Sector 35 Kamothe
2346,Sector 12 New Panvel
2347,Sector 6 Kharghar
2348,Sector 12 Kharghar
2349,Rasayani
2350,Rabale
2351,Rabale
2352,Sector 2 Vashi
2353,Ulwe
2354,Panvel
2355,Sector 6 New Panvel
2356,Belapur
2357,Ulwe
2358,Pushpak Nagar
2359,New Panvel
2360,New Panvel
2361,Kharghar
2362,Kalamboli
2363,Ulwe
2364,Pushpak Nagar
2365,Panvel
2366,Taloja
2367,Sector 12 Kharghar
2368,Sector 4 Airoli
2369,Dhansar
2370,Panvel
2371,Ghansoli
2372,Artist Village
2373,Kharghar
2374,Sector 6 Vashi
2375,Sector 5 Kopar Khairane
2376,Kharghar
2377,Sector 44 Seawoods
2378,Panvel
2379,Kharghar
2380,Vashi
2381,Taloja
2382,Sector 12 Kharghar
2383,Nerul
2384,New Panvel
2385,Panvel
2386,Sector 2B Airoli
2387,Nerul
2388,Old Panvel
2389,Sector 1 Shiravane
2390,Sector 12 Kharghar
2391,Sector 7 Ghansoli
2392,Kegaon
2393,Khalapur
2394,Rasayani
2395,Panvel
2396,Nerul
2397,Shilphata
2398,Rasayani
2399,Sector 16 Ulwe
2400,Nagaon
2401,Sector 3 New Panvel
2402,Sector 3 New Panvel
2403,Sector 20 Kharghar
2404,Khalapur
2405,Sector 28 Vashi
2406,Panvel
2407,Kharghar
2408,Kharghar
2409,Sector 17 Kopar Khairane
2410,Gothivali Village
2411,Ulwe
2412,Sector 16 Vashi
2413,Ambedkar Nagar
2414,Sector 10 Sanpada
2415,Uran
2416,Savoli
2417,Savoli
2418,Nerul
2419,Kamothe
2420,Vashi
2421,Sector 12 Kharghar
2422,Block G Sector 12 Kharghar
2423,Sector 16 Vashi
2424,Vashi
2425,Rasayani
2426,Shilphata
2427,Shilphata
2428,Sector 12 Kharghar
2429,Khalapur
2430,Nerul
2431,Sector 21 Kamothe
2432,Sector 21 Nerul
2433,Thane Belapur Road
2434,Panvel
2435,Panvel
2436,Taloja Phase 1
2437,Ulwe
2438,Sector 9 Airoli
2439,Kharghar
2440,Khalapur
2441,Airoli
2442,Vashi
2443,Hallow Pul
2444,Christian Gaon
2445,Kamgar Nagar
2446,Kamgar Nagar
2447,Kurla 
2448,Christian Gaon
2449,Kurla 
2450,Kurla 
2451,Kamgar Nagar
2452,Kurla 
2453,Kurla
2454,Kurla
2455,Kurla
2456,Kurla
2457,Kurla
2458,Kurla
2459,Kurla
2460,Kurla
2461,Kurla
2462,Kurla
2463,Kurla
2464,Kurla
2465,Kurla
2466,Kurla
2467,Kurla 
2468,Kurla 
2469,Kurla 
2470,Jagruti Nagar
2471,Jagruti Nagar
2472,Kurla 
2473,Kurla 
2474,Kurla 
2475,Kurla 
2476,Kurla 
2477,Kurla 
2478,Kurla 
2479,Kurla 
2480,Kurla 
2481,Kurla 
2482,Kurla 
2483,Kataria Colony
2484,Dadar 
2485,Dadar 
2486,Bhawani Sankar
2487,Dadar
2488,Dadar 
2489,Dadar 
2490,Dadar 
2491,Dadar
2492,Dadar
2493,Dadar
2494,Dadar
2495,Dadar 
2496,Dadar 
2497,Dadar 
2498,Dadar 
2499,Dadar
2500,Dadar 
2501,Dadar 
2502,Parel
2503,Parel
2504,Dadar 
2505,Dadar 
2506,Dadar 
2507,Dadar 
2508,Dadar 
2509,Dadar 
2510,Dadar 
2511,Dadar 
2512,Dadar 
2513,Dadar 
2514,Dadar 
2515,Dadar 
2516,Dadar 
