price,price_per_sqft,area,bedrooms,floor_number,is_floor_availabe,area_type,is_area_type_availabe,property_age,is_property_age_availabe,bathroom,property_type,locality
4.5,34615,1300,3,lower_floor,1,Carpet Area,1,not_specify,0,3,flat,Chembur
2.65,36805,1100,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur
3.3,22758,1450,3,higher_floor,1,Not Specified,0,not_specify,0,3,flat,Mulund
1.55,18452,840,2,lower_floor,1,Not Specified,0,moderately_new,1,2,flat,Govandi
3.5,17412,2010,3,middle_floor,1,Built-up Area,1,new_property,1,3,flat,Ghatkopar 
2.7,29605,912,3,middle_floor,1,Not Specified,0,not_specify,0,3,flat,Mulund
2,29968,667,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
1.95,29235,667,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
1.9,28580,664,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
2.79,27246,1024,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Mulund
6.71,32120,2089,4,lower_floor,1,Carpet Area,1,new_property,1,4,flat,Mulund
1.05,17499,600,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kurla 
2.21,20275,1090,2,higher_floor,1,Not Specified,0,not_specify,0,2,flat,Powai
3.3,33000,1600,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Chembur
2.1,27741,757,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur 
2.41,36515,660,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Powai
2.05,29285,1050,2,higher_floor,1,Built-up Area,1,not_specify,0,2,flat,Mulund
3.6,47998,950,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Powai
2.2,33282,661,2,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Ghatkopar 
1.71,27403,624,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Ghatkopar 
2.7,40540,666,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Powai
1.8,25352,710,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Vikhroli 
1.65,25384,650,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Vikhroli 
1.2,29339,520,1,Not Specified,0,Not Specified,0,not_specify,0,1,flat,Kurla 
1.3,18571,700,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kurla 
5.45,47391,1490,3,higher_floor,1,Super Built-up Area,1,moderately_new,1,3,flat,Powai
0.91,23333,390,1,higher_floor,1,Carpet Area,1,new_property,1,1,flat,Chembur
2,27472,728,2,higher_floor,1,Carpet Area,1,not_specify,0,2,flat,Kanjurmarg 
2.3,25555,900,5,Not Specified,0,Not Specified,0,new_property,1,2,flat,Chembur
2.6,27368,950,2,higher_floor,1,Super Built-up Area,1,new_property,1,2,flat,Chandivali
1.15,19166,600,1,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kurla 
1.62,18409,880,2,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Powai
4.5,27777,1620,3,higher_floor,1,Super Built-up Area,1,not_specify,0,3,flat,Chembur
3.25,30952,1050,2,higher_floor,1,Built-up Area,1,new_property,1,2,flat,Pirojshanagar
5,41666,1550,3,higher_floor,1,Built-up Area,1,new_property,1,3,flat,Pirojshanagar
9,54744,2200,4,higher_floor,1,Super Built-up Area,1,new_property,1,4,flat,Powai
5.63,44156,1275,3,higher_floor,1,Super Built-up Area,1,new_property,1,3,flat,Powai
3.1,22142,1400,3,higher_floor,1,Super Built-up Area,1,not_specify,0,3,flat,Bhandup 
3.25,30981,1049,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
10,40000,2500,3,higher_floor,1,Carpet Area,1,new_property,1,4,flat,Mulund
3.85,30800,1250,2,higher_floor,1,Super Built-up Area,1,not_specify,0,2,flat,Powai
3.75,49212,762,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Powai
1.68,23076,728,1,higher_floor,1,Super Built-up Area,1,moderately_new,1,2,flat,Vikhroli 
1.2,20869,575,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Kannamwar Nagar 1
3.15,25200,1250,2,middle_floor,1,Built-up Area,1,new_property,1,2,flat,Pirojshanagar
4.65,30293,1535,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Mulund
4.1,27702,1480,3,higher_floor,1,Carpet Area,1,new_property,1,3,flat,Mulund
1.55,19375,800,2,lower_floor,1,Built-up Area,1,moderately_new,1,2,flat,Mulund
2.05,30191,679,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Vikhroli 
7.5,44642,1680,2,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Chembur
