Unnamed: 0,locality,locality_clean,latitude,longitude,geocoded_display_name
32,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
33,Bhandup ,Bhandup,19.1427570,72.9376543,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
34,Chembur,Chembur,19.0548180,72.8979713,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
35,Powai,Powai,19.1187195,72.9073476,"Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
36,Bhandup ,Bhandup,19.1427570,72.9376543,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
37,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
38,Kurla ,Kurla,19.0652797,72.8793805,"Kurla, S G Barve Marg, Brahmanwadi, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
39,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
40,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
41,Bhandup ,Bhandup,19.1427570,72.9376543,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
42,Powai,Powai,19.1187195,72.9073476,"Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
43,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
44,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
45,Vikhroli ,Vikhroli,19.1114795,72.9280210,"Vikhroli, P. Soman Marg, Hariyali, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
46,Khalai Village,Khalai Village,,,
47,Ghatkopar ,Ghatkopar,19.0856928,72.9083668,"Ghatkopar, Station Road, Kapol Wadi, Ghatkopar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India"
48,Nahur ,Nahur,19.1546402,72.9466525,"Nahur, M D Keni Road, RCF Colony, Nahur, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
49,Ghatla,Ghatla,19.0517387,72.9103117,"Ghatla, Waman Tukaram Patil Marg, Nagesh Patil Wadi, Deonar, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400088, India"
50,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
51,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
52,Kurla ,Kurla,19.0652797,72.8793805,"Kurla, S G Barve Marg, Brahmanwadi, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
53,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
54,Vikhroli ,Vikhroli,19.1114795,72.9280210,"Vikhroli, P. Soman Marg, Hariyali, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
55,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
56,Ghatkopar ,Ghatkopar,19.0856928,72.9083668,"Ghatkopar, Station Road, Kapol Wadi, Ghatkopar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India"
57,Chembur ,Chembur,19.0548180,72.8979713,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
58,Sindhi Colony,Sindhi Colony,19.8748059,75.3367202,"sindhi colony, Osmanpura, Chhatrapati Sambhajinagar, Chhatrapati Sambhajinagar District, Maharashtra, 431002, India"
59,Vidyavihar ,Vidyavihar,19.0795422,72.8971169,"Vidyavihar, Station Road, Kirol VIllage, Vidya Vihar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India"
60,Kurla ,Kurla,19.0652797,72.8793805,"Kurla, S G Barve Marg, Brahmanwadi, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
61,Bhandup ,Bhandup,19.1427570,72.9376543,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
62,Kanjurmarg ,Kanjurmarg,19.1241020,72.9385562,"Kanjurmarg Flyover, Tagore Nagar, Vikhroli East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India"
63,Powai,Powai,19.1187195,72.9073476,"Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
64,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
65,Powai,Powai,19.1187195,72.9073476,"Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
66,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
67,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
68,Chembur,Chembur,19.0548180,72.8979713,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
69,Chembur,Chembur,19.0548180,72.8979713,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
70,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
71,Govandi,Govandi,19.0553688,72.9150702,"Govandi, B S Devashi Marg, Samrat Ashok Nagar, Govandi West, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400043, India"
